Athlete,Country,Gender,Discipline,Event,Year,Medal
"AAHLBERG, Mats",SWE,Men,Ice Hockey,Ice Hockey,1980,Bronze
"AAHLEN, Thomas",SWE,Men,Ice Hockey,Ice Hockey,1984,Bronze
"AALAND, Per Knut",NOR,Men,Cross Country Skiing,4X10KM Relay,1980,Silver
"AALTONEN, Juhamatti",FIN,Men,Ice Hockey,Ice Hockey,2014,Bronze
"AAMODT, Kjetil Andre",NOR,Men,Alpine Skiing,Giant Slalom,1992,Bronze
"AAMODT, Kjetil Andre",NOR,Men,Alpine Skiing,Super-G,1992,Gold
"AAMODT, Kjetil Andre",NOR,Men,Alpine Skiing,Alpine Combined,1994,Silver
"AAMODT, Kjetil Andre",NOR,Men,Alpine Skiing,Downhill,1994,Silver
"AAMODT, Kjetil Andre",NOR,Men,Alpine Skiing,Super-G,1994,Bronze
"AAMODT, Kjetil Andre",NOR,Men,Alpine Skiing,Alpine Combined,2002,Gold
"AAMODT, Kjetil Andre",NOR,Men,Alpine Skiing,Super-G,2002,Gold
"AAMODT, Kjetil Andre",NOR,Men,Alpine Skiing,Super-G,2006,Gold
"AAS, Roald",NOR,Men,Speed skating,1500M,1952,Bronze
"AAS, Roald",NOR,Men,Speed skating,1500M,1960,Gold
"AASLIN, Peter",SWE,Men,Ice Hockey,Ice Hockey,1988,Bronze
"ABBOTT, Jeremy",USA,Men,Figure skating,Team,2014,Bronze
"ABE, Masashi",JPN,Men,Nordic Combined,Team,1994,Gold
"ABEL, Clarence John",USA,Men,Ice Hockey,Ice Hockey,1924,Silver
"ABEL, George Gordon",CAN,Men,Ice Hockey,Ice Hockey,1952,Gold
"ABRAHAMSSON, Carl",SWE,Men,Ice Hockey,Ice Hockey,1928,Silver
"ABRAMOVA, Yekaterina",RUS,Women,Speed skating,Team Pursuit,2006,Bronze
"ACCOLA, Paul",SUI,Men,Alpine Skiing,Alpine Combined,1988,Bronze
"ACHKINA, Rita",URS,Women,Cross Country Skiing,3X5KM Relay,1968,Bronze
"ACKERMANN, Ronny",GER,Men,Nordic Combined,Sprint,2002,Silver
"ACKERMANN, Ronny",GER,Men,Nordic Combined,Team,2002,Silver
"ACKERMANN, Ronny",GER,Men,Nordic Combined,Team,2006,Silver
"ACKLIN, Donat",SUI,Men,Bobsleigh,Four-Man,1992,Bronze
"ACKLIN, Donat",SUI,Men,Bobsleigh,Two-Man,1992,Gold
"ACKLIN, Donat",SUI,Men,Bobsleigh,Four-Man,1994,Silver
"ACKLIN, Donat",SUI,Men,Bobsleigh,Two-Man,1994,Gold
"ACKLIN, Guido",SUI,Men,Bobsleigh,Two-Man,1994,Silver
"ADAM, Mike",CAN,Men,Curling,Curling,2006,Gold
"ADAMS, Vicki",GBR,Women,Curling,Curling,2014,Bronze
"ADJEI, Richard",GER,Men,Bobsleigh,Two-Man,2010,Silver
"AFINOGENOV, Maxim",RUS,Men,Ice Hockey,Ice Hockey,2002,Bronze
"AGOSTA, Meghan",CAN,Women,Ice Hockey,Ice Hockey,2006,Gold
"AGOSTA, Meghan",CAN,Women,Ice Hockey,Ice Hockey,2010,Gold
"AGOSTA, Meghan",CAN,Women,Ice Hockey,Ice Hockey,2014,Gold
"AGOSTO, Benjamin",USA,Men,Figure skating,Ice Dancing,2006,Silver
"AHEARN, Kevin Joseph",USA,Men,Ice Hockey,Ice Hockey,1972,Silver
"AHLEN, Annica",SWE,Women,Ice Hockey,Ice Hockey,2002,Bronze
"AHLEN, J.P.",SWE,Men,Curling,Curling,1924,Silver
"AHN, Hyun-Soo",KOR,Men,Short Track Speed Skating,1000M,2006,Gold
"AHN, Hyun-Soo",KOR,Men,Short Track Speed Skating,1500M,2006,Gold
"AHN, Hyun-Soo",KOR,Men,Short Track Speed Skating,5000M Relay,2006,Gold
"AHN, Hyun-Soo",KOR,Men,Short Track Speed Skating,500M,2006,Bronze
"AHONEN, Janne",FIN,Men,Ski Jumping,K120 Team (90M),2002,Silver
"AHONEN, Janne",FIN,Men,Ski Jumping,K120 Team (90M),2006,Silver
"AICHELE, Hans",SUI,Men,Bobsleigh,Four-Man,1936,Silver
"AIDAROV, Aleksei",BLR,Men,Biathlon,20KM,1998,Bronze
"AIKMAN, T.",GBR,Men,Curling,Curling,1924,Gold
"AKASAKA, Yuichi",JPN,Men,Short Track Speed Skating,5000M Relay,1992,Bronze
"AKHATOVA, Albina",RUS,Women,Biathlon,4X7.5KM Relay,1998,Silver
"AKHATOVA, Albina",RUS,Women,Biathlon,4X7.5KM Relay,2002,Bronze
"AKHATOVA, Albina",RUS,Women,Biathlon,10KM Pursuit,2006,Bronze
"AKHATOVA, Albina",RUS,Women,Biathlon,15KM,2006,Bronze
"AKHATOVA, Albina",RUS,Women,Biathlon,4X6KM Relay,2006,Gold
"ALAGULOVA, Yulia",EUN,Women,Short Track Speed Skating,3000M Relay,1992,Bronze
"ALATALO, Mika",FIN,Men,Ice Hockey,Ice Hockey,1994,Bronze
"ALATALO, Toimi",FIN,Men,Cross Country Skiing,4X10KM Relay,1960,Gold
"ALBARELLO, Marco",ITA,Men,Cross Country Skiing,10KM Pursuit,1992,Silver
"ALBARELLO, Marco",ITA,Men,Cross Country Skiing,4X10KM Relay,1992,Silver
"ALBARELLO, Marco",ITA,Men,Cross Country Skiing,10KM Pursuit,1994,Bronze
"ALBARELLO, Marco",ITA,Men,Cross Country Skiing,4X10KM Relay,1994,Gold
"ALBARELLO, Marco",ITA,Men,Cross Country Skiing,4X10KM Relay,1998,Silver
"ALBRECHT LORETAN, Brigitte",SUI,Women,Cross Country Skiing,4X5KM Relay,2002,Bronze
"ALBRECHT, Silvia",GDR,Women,Speed skating,1000M,1980,Bronze
"ALBRIGHT, Tenley",USA,Women,Figure skating,Individual,1952,Silver
"ALBRIGHT, Tenley",USA,Women,Figure skating,Individual,1956,Gold
"ALDEERT, H.",FRA,Men,Curling,Curling,1924,Bronze
"ALDER, Janine",SUI,Women,Ice Hockey,Ice Hockey,2014,Bronze
"ALEKSANDROV, Boris",URS,Men,Ice Hockey,Ice Hockey,1976,Gold
"ALEKSANDROV, Veniamin",URS,Men,Ice Hockey,Ice Hockey,1960,Bronze
"ALEKSANDROV, Veniamin",URS,Men,Ice Hockey,Ice Hockey,1964,Gold
"ALEKSANDROV, Veniamin",URS,Men,Ice Hockey,Ice Hockey,1968,Gold
"ALEKSANDROV, Vladimir",URS,Men,Bobsleigh,Two-Man,1984,Bronze
"ALFREDSSON, Daniel",SWE,Men,Ice Hockey,Ice Hockey,2006,Gold
"ALFREDSSON, Daniel",SWE,Men,Ice Hockey,Ice Hockey,2014,Silver
"ALGOTSSON, Hakan",SWE,Men,Ice Hockey,Ice Hockey,1994,Gold
"ALIKIN, Vladimir",URS,Men,Biathlon,10KM,1980,Silver
"ALIKIN, Vladimir",URS,Men,Biathlon,4X7.5KM Relay,1980,Gold
"ALLAIS, Emile",FRA,Men,Alpine Skiing,Alpine Combined,1936,Bronze
"ALLAMAND, Olivier",FRA,Men,Freestyle Skiing,Moguls,1992,Silver
"ALLEN, Scott",USA,Men,Figure skating,Individual,1964,Bronze
"ALMBLAD, Lotta",SWE,Women,Ice Hockey,Ice Hockey,2002,Bronze
"ALMETOV, Aleksandr",URS,Men,Ice Hockey,Ice Hockey,1960,Bronze
"ALMETOV, Aleksandr",URS,Men,Ice Hockey,Ice Hockey,1964,Gold
"ALMQVIST, Göte",SWE,Men,Ice Hockey,Ice Hockey,1952,Bronze
"ALSGAARD, Thomas",NOR,Men,Cross Country Skiing,30KM Mass Start,1994,Gold
"ALSGAARD, Thomas",NOR,Men,Cross Country Skiing,4X10KM Relay,1994,Silver
"ALSGAARD, Thomas",NOR,Men,Cross Country Skiing,4X10KM Relay,1998,Gold
"ALSGAARD, Thomas",NOR,Men,Cross Country Skiing,Combined 10KM + 15KM Pursuit,1998,Gold
"ALSGAARD, Thomas",NOR,Men,Cross Country Skiing,10KM Pursuit,2002,Gold
"ALSGAARD, Thomas",NOR,Men,Cross Country Skiing,4X10KM Relay,2002,Gold
"ALT, Robert",SUI,Men,Bobsleigh,Four-Man,1956,Gold
"ALTMANN, Livia",SUI,Women,Ice Hockey,Ice Hockey,2014,Bronze
"ALTWEGG, Jeannette",GBR,Women,Figure skating,Individual,1948,Bronze
"ALTWEGG, Jeannette",GBR,Women,Figure skating,Individual,1952,Gold
"ALVAREZ, Eduardo",USA,Men,Short Track Speed Skating,5000M Relay,2014,Silver
"ALVERA, Renzo",ITA,Men,Bobsleigh,Four-Man,1956,Silver
"ALVERA, Renzo",ITA,Men,Bobsleigh,Two-Man,1956,Silver
"ALYABYEV, Anatoly",URS,Men,Biathlon,10KM,1980,Bronze
"ALYABYEV, Anatoly",URS,Men,Biathlon,20KM,1980,Gold
"ALYABYEV, Anatoly",URS,Men,Biathlon,4X7.5KM Relay,1980,Gold
"ALYPOV, Ivan",RUS,Men,Cross Country Skiing,Team Sprint,2006,Bronze
"AMANTOVA, Ingrida",URS,Women,Luge,Singles,1980,Bronze
"AMIEZ, Sebastien",FRA,Men,Alpine Skiing,Slalom,2002,Silver
"AMMANN, Simon",SUI,Men,Ski Jumping,K120 Individual (90M),2002,Gold
"AMMANN, Simon",SUI,Men,Ski Jumping,K90 Individual (70M),2002,Gold
"AMMANN, Simon",SUI,Men,Ski Jumping,K120 Individual (90M),2010,Gold
