vowel,word,t,F1,F2,F3,F1@20%,F2@20%,F1@35%,F2@35%,F1@50%,F2@50%,F1@65%,F2@65%,F1@80%,F2@80%,plt_vclass,pre_seg,fol_seg,class,is_outlier
e,change,10.995,428.1,2209.8,2531.2,400.1,2145.7,400.1,2145.7,428.1,2209.8,442.7,2258.4,442.7,2258.4,ey,CH,N,BAIT,FALSE
e,play,12.422,462.5,1585,2439.8,462.5,1585,456.1,1601.3,411.3,1684.8,379.3,1617.9,378.1,1606.9,eyF,L,W,BAIT,FALSE
e,places,17.452,391,1664.2,2589.7,391,1664.2,391,1664.2,363.4,1810.2,354.7,1944.9,354.7,1944.9,ey,L,S,BAIT,FALSE
e,snakes,34.419,472.7,1823,2584.5,372.5,1855.8,468.8,1828.8,408.6,1608.8,355.7,1510,314.5,1652.2,ey,N,K,BAIT,FALSE
e,agent,36.136,415,2076.2,2658.8,394.3,1970.2,410.1,2087.2,382.4,2190.9,343.2,2223.8,294.6,2157.6,ey,NA,JH,BAIT,FALSE
e,ailments,36.523,446.3,2116.2,2710.7,847.2,2053.4,806.8,2061.3,387.3,2149.5,463,2107.3,461.6,2092.3,ey,T,L,BAIT,FALSE
e,way,56.4,458.1,2052.2,2426.1,431.1,1878.6,429.1,1895.6,458.1,2052.2,430.2,2124.6,417.2,2130.1,eyF,W,IH1,BAIT,FALSE
e,way,61.122,419.1,1677.9,2319.5,419.1,1677.9,380.2,1906.7,329,2067.1,258.3,2083.7,348.2,1680.7,eyF,W,T,BAIT,FALSE
e,take,62.75,380.3,1948.5,2551.1,302.2,1814.6,285.4,1821.8,380.3,1948.5,358.2,2024.4,330.8,2061,ey,T,K,BAIT,FALSE
e,game,68.232,370.4,2084.8,3175.3,362.5,2098.9,369.9,2083.5,342,2141.5,336.8,2166.5,337.1,2176.4,ey,G,M,BAIT,FALSE
e,way,74.742,425.7,1597.8,2345.6,425.7,1597.8,421.4,1631.8,392.8,1884.7,374.2,2027.5,372.6,2032.2,eyF,W,HH,BAIT,FALSE
e,waist,87.762,394.8,1712.9,2258.1,394.8,1712.9,376.4,1861,330.3,2008,305.9,2065,293.5,2125.6,ey,W,S,BAIT,FALSE
e,surveillance,93.635,468.9,2104.8,2428.8,300.2,1676.9,396.1,1922.9,468.9,2104.8,480.1,2008.3,510.1,1996.4,ey,V,L,BAIT,FALSE
e,days,99.816,451.7,1874.2,2493.2,442.1,1867.6,425.5,1905.6,406.6,1948.6,382.6,2027.2,332.1,2038.4,ey,D,Z,BAIT,FALSE
e,am,120.163,438.3,1852.4,2470.7,278.8,1617.8,437.6,1877.9,385.9,1985.3,342.8,2071,313.8,2084.7,ey,AY1,EH1,BAIT,FALSE
e,neighborhood,126.244,473.4,1935,2564.9,450.3,1892.7,464,1902.4,467.4,2004.7,434.8,1925,422,1830.2,ey,N,B,BAIT,FALSE
e,day,132.152,466.3,1822.5,2525.4,457.2,1806.1,450.1,1885.6,377.4,2089,317.1,2116.2,310,2129.1,eyF,D,AE1,BAIT,FALSE
e,way,134.918,502,1789.7,2339.3,495.3,1848,463.1,1944.6,409.2,1985.9,346.3,2036.8,510.4,2118.4,eyF,W,NA,BAIT,FALSE
e,against,137.925,432.2,1910.7,2572.2,397.6,1984.9,397.6,1984.9,432.2,1910.7,458.5,1795.9,458.5,1795.9,ey,G,N,BAIT,FALSE
e,place,155.612,413.1,1648.9,2601,413.1,1648.9,385.5,1458.8,336,1928.6,321.5,1966.1,312,1568.2,ey,L,S,BAIT,FALSE
e,game,165.735,444.6,2098.1,2628.8,403.2,1750.7,412.4,1902.8,366.4,1642.7,325.9,1257,329.5,2024.7,ey,G,M,BAIT,FALSE
e,famous,190.184,465,2083.2,2620.9,370.7,1778.5,426.2,1964.1,460.7,2051.5,440.9,2084.9,387.4,1845.7,ey,F,M,BAIT,FALSE
e,nails,196.697,443.3,2034.2,2637.1,437.3,1744.2,439.1,1799,438.5,1990.2,499.6,1967.4,509.7,1967.9,ey,N,L,BAIT,FALSE
e,state's,203.776,421,1867.3,2557.9,388.6,1731.7,420.6,1851.4,402.7,1963.3,369.5,2096.9,346.8,1997.7,ey,T,T,BAIT,FALSE
